# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\useru\Desktop\takahashi-assignment-planner.csv
# Generated on: Tue Jun 23 21:41:41 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved,Current Strength,Strict Preservation
ADX[19],Unknown,PIN_87,3,,,,
ADX[18],Unknown,PIN_88,3,,,,
ADX[17],Unknown,PIN_93,3,,,,
ADX[16],Unknown,PIN_94,3,,,,
ADX[15],Unknown,PIN_95,3,,,,
ADX[14],Unknown,PIN_96,3,,,,
ADX[13],Unknown,PIN_97,3,,,,
ADX[12],Unknown,PIN_98,3,,,,
ADX[11],Unknown,PIN_101,3,,,,
ADX[10],Unknown,PIN_102,3,,,,
ADX[9],Unknown,PIN_103,3,,,,
ADX[8],Unknown,PIN_104,3,,,,
ADX[7],Unknown,PIN_105,3,,,,
ADX[6],Unknown,PIN_106,3,,,,
ADX[5],Unknown,PIN_107,3,,,,
ADX[4],Unknown,PIN_108,3,,,,
ADX[3],Unknown,PIN_109,2,,,,
ADX[2],Unknown,PIN_110,2,,,,
ADX[1],Unknown,PIN_111,2,,,,
ADX[0],Unknown,PIN_112,2,,,,
DX[15],Unknown,PIN_78,3,,,,
DX[14],Unknown,PIN_77,3,,,,
DX[13],Unknown,PIN_76,3,,,,
DX[12],Unknown,PIN_75,3,,,,
DX[11],Unknown,PIN_74,3,,,,
DX[10],Unknown,PIN_73,3,,,,
DX[9],Unknown,PIN_72,4,,,,
DX[8],Unknown,PIN_71,4,,,,
DX[7],Unknown,PIN_70,4,,,,
DX[6],Unknown,PIN_69,4,,,,
DX[5],Unknown,PIN_68,4,,,,
DX[4],Unknown,PIN_67,4,,,,
DX[3],Unknown,PIN_66,4,,,,
DX[2],Unknown,PIN_63,4,,,,
DX[1],Unknown,PIN_62,4,,,,
DX[0],Unknown,PIN_59,4,,,,
CLK,Unknown,PIN_48,4,,,,
CLK1,Unknown,PIN_40,4,,,,
STAT[1],Unknown,PIN_142,2,,,,
STAT[0],Unknown,PIN_141,2,,,,
TRIG,Unknown,PIN_49,4,,,,
BHE,Unknown,PIN_85,3,,,,
BLE,Unknown,PIN_80,3,,,,
CE1,Unknown,PIN_114,2,,,,
CE2,Unknown,PIN_113,2,,,,
CEX,Unknown,PIN_86,3,,,,
CEY,Unknown,PIN_84,3,,,,
LEDP,Unknown,PIN_91,3,,,,
STAT[2],Unknown,PIN_144,2,,,,
RD,Unknown,PIN_129,2,,,,
WR,Unknown,PIN_130,2,,,,
WMODE,Unknown,PIN_39,4,,,,
USBX[7],Unknown,PIN_124,2,,,,
USBX[6],Unknown,PIN_123,2,,,,
USBX[5],Unknown,PIN_122,2,,,,
USBX[4],Unknown,PIN_121,2,,,,
USBX[3],Unknown,PIN_120,2,,,,
USBX[2],Unknown,PIN_119,2,,,,
USBX[1],Unknown,PIN_118,2,,,,
USBX[0],Unknown,PIN_117,2,,,,
RXF,Unknown,PIN_125,2,,,,
TXE,Unknown,PIN_127,2,,,,
WAVEX[0],Unknown,PIN_12,1,,,,
WAVEX[1],Unknown,PIN_11,1,,,,
WAVEX[2],Unknown,PIN_8,1,,,,
WAVEX[3],Unknown,PIN_7,1,,,,
WAVEX[4],Unknown,PIN_6,1,,,,
WAVEX[5],Unknown,PIN_5,1,,,,
WAVEX[6],Unknown,PIN_4,1,,,,
WAVEX[7],Unknown,PIN_3,1,,,,
WFSTAT[7],Unknown,PIN_140,2,,,,
WFSTAT[6],Unknown,PIN_139,2,,,,
WFSTAT[5],Unknown,PIN_138,2,,,,
WFSTAT[4],Unknown,PIN_137,2,,,,
WFSTAT[3],Unknown,PIN_134,2,,,,
WFSTAT[2],Unknown,PIN_133,2,,,,
WFSTAT[1],Unknown,PIN_132,2,,,,
WFSTAT[0],Unknown,PIN_131,2,,,,
ADCLK,Unknown,PIN_15,1,,,,
STAT[3],Unknown,PIN_38,4,,,,
OVR,Unknown,PIN_13,1,,,,
PWDN,Unknown,PIN_16,1,,,,
WAVEX[9],Unknown,PIN_1,1,,,,
WAVEX[8],Unknown,PIN_2,1,,,,
DFS,Unknown,PIN_14,1,,,,
DCLK,Unknown,PIN_37,4,,,,
DACOUT[0],Unknown,PIN_32,1,,,,
DACOUT[1],Unknown,PIN_31,1,,,,
DACOUT[2],Unknown,PIN_30,1,,,,
DACOUT[3],Unknown,PIN_29,1,,,,
DACOUT[4],Unknown,PIN_28,1,,,,
DACOUT[5],Unknown,PIN_27,1,,,,
DACOUT[6],Unknown,PIN_24,1,,,,
DACOUT[7],Unknown,PIN_23,1,,,,
DACOUT[8],Unknown,PIN_22,1,,,,
DACOUT[9],Unknown,PIN_21,1,,,,
SWIN0,Unknown,PIN_55,4,,,,
SWIN1,Unknown,PIN_57,4,,,,
SWIN2,Unknown,PIN_58,4,,,,
